year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2007,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,437.51
2007,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1032.27
2007,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,497.74
2007,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,96.85
2007,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2007,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2007,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,437512.01
2007,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1032268.84
2007,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,96845.33
2007,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,497735.95
2007,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,175.55
2007,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,175.55
2008,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,442.21
2008,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1065.17
2008,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,521.45
2008,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,101.33
2008,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2008,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2008,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,442207.83
2008,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1065174.31
2008,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,101330.05
2008,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,521446.12
